Language,Countries,Degree of endangerment,Number of speakers,Endangerment Level,Total_Speakers,Duplicate_Columns,Endangerment_Level
tamazight,Morocco,definitely endangered,25000,2.0,25000,True,
tamazight,Tunisia,severely endangered,10000,3.0,10000,True,
tamazight,Algeria,critically endangered,2000,4.0,2000,True,
tambotalo,Vanuatu,severely endangered,50,3.0,50,True,
tamki,Chad,critically endangered,500,4.0,500,True,
tamzabit,Algeria,vulnerable,150000,1.0,150000,True,
tanacross,United States of America,critically endangered,50,4.0,50,True,
tanaina,United States of America,severely endangered,50,3.0,50,True,
tanana,United States of America,critically endangered,15,4.0,15,True,
tandia,Indonesia,extinct,0,5.0,0,True,
tanema,Solomon Islands,critically endangered,4,4.0,4,True,
tangam,India,critically endangered,100,4.0,100,True,
tangkhul,India,vulnerable,142000,1.0,142000,True,
tanglang,China,vulnerable,2000,1.0,2000,True,
tangsa,India,vulnerable,40000,1.0,40000,True,
tangwang,China,definitely endangered,20000,2.0,20000,True,
tanimbili,Solomon Islands,severely endangered,50,3.0,50,True,
tanimucaletuama,Colombia,severely endangered,1000,3.0,1000,True,
taokas,China,extinct,0,5.0,0,True,
taos,United States of America,definitely endangered,800,2.0,800,True,
tapayuna,Brazil,severely endangered,58,3.0,58,True,
tape,Vanuatu,critically endangered,10,4.0,10,True,
tapiet,"Argentina, Bolivia (Plurinational State of), Paraguay",severely endangered,1000,3.0,1000,True,
tapirap,Brazil,vulnerable,564,1.0,564,True,
tarao,India,critically endangered,870,4.0,870,True,
tariana,Brazil,critically endangered,100,4.0,100,True,
tariana,Colombia,critically endangered,1000,4.0,1000,True,
taroko,China,vulnerable,4750,1.0,4750,True,
tarpia,Indonesia,severely endangered,300,3.0,300,True,
taruang,"China, India, Myanmar",vulnerable,9332,1.0,9332,True,
taruma,Guyana,critically endangered,1000,4.0,1000,True,
tasnusit,Algeria,severely endangered,1000,3.0,1000,True,
tat,Azerbaijan,severely endangered,1000,3.0,1000,True,
tati,Iran (Islamic Republic of),definitely endangered,1000,2.0,1000,True,
tatuyo,Colombia,definitely endangered,1000,2.0,1000,True,
taulil,Papua New Guinea,vulnerable,800,1.0,800,True,
tause,Indonesia,vulnerable,300,1.0,300,True,
taushiro,Peru,critically endangered,1,4.0,1,True,
tawahka,Honduras,severely endangered,500,3.0,500,True,
taworta,Indonesia,vulnerable,140,1.0,140,True,
tayal,China,vulnerable,10000,1.0,10000,True,
tayurayt,Algeria,vulnerable,15000,1.0,15000,True,
taznatit,Algeria,severely endangered,80000,3.0,80000,True,
tazy,Russian Federation,severely endangered,1000,3.0,1000,True,
tchitchege,Gabon,definitely endangered,2000,2.0,2000,True,
tchumbuli,Benin,critically endangered,1838,4.0,1838,True,
teun,Indonesia,definitely endangered,1200,2.0,1200,True,
teanu,Solomon Islands,definitely endangered,600,2.0,600,True,
tecatl mazatec,Mexico,vulnerable,1300,1.0,1300,True,
tehuelche,Argentina,critically endangered,4,4.0,4,True,
teko,Mexico,severely endangered,71,3.0,71,True,
tektitek,Guatemala,definitely endangered,1144,2.0,1144,True,
temb,Brazil,severely endangered,60,3.0,60,True,
temein,Sudan,severely endangered,10000,3.0,10000,True,
temiar,Malaysia,definitely endangered,10000,2.0,10000,True,
tempuan,Cambodia,severely endangered,1000,3.0,1000,True,
temuan,Malaysia,severely endangered,8000,3.0,8000,True,
tench,Papua New Guinea,critically endangered,49,4.0,49,True,
tenharim,Brazil,severely endangered,350,3.0,350,True,
tennet,Sudan,vulnerable,4000,1.0,4000,True,
ter saami,Russian Federation,critically endangered,10,4.0,10,True,
terena,Brazil,severely endangered,19000,3.0,19000,True,
teribe,Panama,definitely endangered,3305,2.0,3305,True,
teribe,Costa Rica,critically endangered,57,4.0,57,True,
tese,Sudan,critically endangered,1400,4.0,1400,True,
tetete,Ecuador,extinct,0,5.0,0,True,
tetserret,Niger,severely endangered,40000,3.0,40000,True,
tewa,United States of America,definitely endangered,1600,2.0,1600,True,
texistepecan,Mexico,severely endangered,250,3.0,250,True,
thaayorre,Australia,definitely endangered,300,2.0,300,True,
thado,India,vulnerable,191000,1.0,191000,True,
thakali,Nepal,vulnerable,6441,1.0,6441,True,
thangmi,Nepal,definitely endangered,33500,2.0,33500,True,
thao,China,critically endangered,10,4.0,10,True,
tharkarri,Australia,critically endangered,2,4.0,2,True,
thavung,"Lao People's Democratic Republic, Thailand",definitely endangered,1000,2.0,1000,True,
thavung,Thailand,severely endangered,500,3.0,500,True,
theen,Lao People's Democratic Republic,severely endangered,200,3.0,200,True,
thompson,Canada,severely endangered,335,3.0,335,True,
thulung,Nepal,definitely endangered,14034,2.0,14034,True,
thuri,Sudan,vulnerable,6600,1.0,6600,True,
tialo,Indonesia,vulnerable,30000,1.0,30000,True,
ticuna,"Brazil, Colombia, Peru",definitely endangered,35000,2.0,35000,True,
tidikelt,Algeria,critically endangered,30000,4.0,30000,True,
tilapa otom,Mexico,severely endangered,292,3.0,292,True,
tillamook,United States of America,extinct,0,5.0,0,True,
tilung,Nepal,definitely endangered,310,2.0,310,True,
tima,Sudan,severely endangered,3305,3.0,3305,True,
tinan,"China, India",definitely endangered,2000,2.0,2000,True,
tindi,Russian Federation,definitely endangered,6000,2.0,6000,True,
tingal,Sudan,definitely endangered,8000,2.0,8000,True,
tinigua,Colombia,critically endangered,1,4.0,1,True,
tipai,Mexico,severely endangered,184,3.0,184,True,
tipai,United States of America,severely endangered,40,3.0,40,True,
tirahi,Afghanistan,critically endangered,100,4.0,100,True,
tiri,New Caledonia (France),definitely endangered,221,2.0,221,True,
tirma,Sudan,critically endangered,1000,4.0,1000,True,
tiwa,India,definitely endangered,23000,2.0,23000,True,
tiwi,Australia,vulnerable,2100,1.0,2100,True,
tlachichilco tepehua,Mexico,definitely endangered,2234,2.0,2234,True,
tlahuica,Mexico,severely endangered,405,3.0,405,True,
tlingit,United States of America,critically endangered,300,4.0,300,True,
tlingit,Canada,critically endangered,55,4.0,55,True,
toba,Argentina,definitely endangered,30000,2.0,30000,True,
tobamaskoy,Paraguay,severely endangered,1000,3.0,1000,True,
