Name in English,Countries,Degree of endangerment,Number of speakers
Olonetsian,"Finland, Russian Federation",Definitely endangered,25000.0
Saek,"Lao People's Democratic Republic, Thailand",Definitely endangered,25000.0
Sioux,United States of America,Vulnerable,25000.0
Tamazight (Beni Iznassen),Morocco,Definitely endangered,25000.0
Tsakhur,"Azerbaijan, Russian Federation",Definitely endangered,25000.0
Warao,"Guyana, Venezuela (Bolivarian Republic of)",Definitely endangered,25000.0
Majhi,Nepal,Severely endangered,24664.0
Jone,China,Definitely endangered,24000.0
Andi,Russian Federation,Definitely endangered,23729.0
Guambiano,Colombia,Definitely endangered,23462.0
Anal,India,Vulnerable,23000.0
Hawrami,"Iran (Islamic Republic of), Iraq",Definitely endangered,23000.0
Juang,India,Definitely endangered,23000.0
Tiwa,India,Definitely endangered,23000.0
Embera (Panama),Panama,Vulnerable,22485.0
Ediamat,Guinea-Bissau,Vulnerable,22025.0
Mara,India,Definitely endangered,22000.0
Maring,India,Vulnerable,22000.0
Polci cluster,Nigeria,Definitely endangered,22000.0
Sarikoli,China,Definitely endangered,22000.0
Krongo,Sudan,Definitely endangered,21688.0
Ashtiani,Iran (Islamic Republic of),Definitely endangered,21000.0
Khunsari,Iran (Islamic Republic of),Definitely endangered,21000.0
Semnani,Iran (Islamic Republic of),Definitely endangered,21000.0
Plains Cree,Canada,Vulnerable,20933.0
Higher Reservoir Mazatec,Mexico,Vulnerable,20665.0
Chilchotla Mazatec,Mexico,Vulnerable,20585.0
"Zapotec of the Valleys, middle northwest",Mexico,Definitely endangered,20448.0
Aluo,China,Definitely endangered,20000.0
Bangni,India,Vulnerable,20000.0
Bru,Thailand,Definitely endangered,20000.0
Cho-ca-nga-ca-kha,Bhutan,Definitely endangered,20000.0
Crimean Tatar (Dobruja),"Bulgaria, Romania",Severely endangered,20000.0
Dhimal,Nepal,Severely endangered,20000.0
Griko (Salento),Italy,Severely endangered,20000.0
Kaiowá Guarani,Brazil,Vulnerable,20000.0
Karelian (Karelia),"Finland, Russian Federation",Definitely endangered,20000.0
Khoirao,India,Vulnerable,20000.0
Manchad,India,Vulnerable,20000.0
Mariupolitan Greek,Ukraine,Severely endangered,20000.0
Padam,India,Vulnerable,20000.0
Pemon (Venezuela),"Guyana, Venezuela (Bolivarian Republic of)",Vulnerable,20000.0
Tacenwit,Algeria,Vulnerable,20000.0
Tangwang,China,Definitely endangered,20000.0
